coset,d,k,n,diameter,last_layer_size,total_states,growth,central
2Different,1,1,9,8,1,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,10,9,1,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,11,10,1,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,12,11,1,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,13,12,1,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,14,13,1,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,15,14,1,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,16,15,1,16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,17,16,1,17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,18,17,1,18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,19,18,1,19,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,1,20,19,1,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,9,8,1,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,10,9,1,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,11,10,1,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,12,11,1,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,13,12,1,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,14,13,1,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,15,14,1,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,16,15,1,16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,17,16,1,17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,18,17,1,18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,19,18,1,19,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,2,20,19,1,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,3,9,8,1,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,3,10,9,1,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,3,11,10,1,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,1,3,12,11,1,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
