n,n_factorial,diameter,n_layers,max_layer_size,vram_gb_measured,vram_gb_estimated,vram_source,time
5,120,7,8,35,0.0,0.0,measured,0.1s
6,720,12,13,169,0.0001,0.0001,measured,0.0s
7,5040,18,19,805,0.0004,0.0004,measured,0.0s
8,40320,24,25,5574,0.001,0.001,measured,0.0s
9,362880,32,33,44317,0.0049,0.0049,measured,0.1s
10,3628800,40,41,382991,0.0398,0.0398,measured,0.1s
11,39916800,49,50,3602530,0.3117,0.3117,measured,0.6s
12,479001600,59,60,38478350,3.0967,3.0967,measured,15.9s
13,6227020800,,,346924576,,35.045,estimated,2.6m
14,87178291200,,,3304994924,,434.108,estimated,32.6m
15,1307674368000,,,31485205101,,5772.056,estimated,6.8h
16,20922789888000,,,299945435024,,83161.246,estimated,3.5d
