n,config_name,n_estimators,num_leaves,learning_rate,boosting,objective,test_r2,test_rmse,test_spearman,fit_time,best_iteration
16,baseline_1k,1000,127,0.05,gbdt,rmse,0.57734138510995,24.021546036394927,0.7564971330490767,314.84776282310486,0
16,baseline_255L,1000,255,0.05,gbdt,rmse,0.5743283553779597,24.107015842286255,0.7546780948106511,452.30506801605225,0
16,more_trees_2k,2000,127,0.05,gbdt,rmse,0.5758508163739436,24.063866541881282,0.7557437418891425,686.4006414413452,1523
16,more_trees_3k,3000,127,0.05,gbdt,rmse,0.5758972110546328,24.062550417768744,0.7554671144601435,543.9132194519043,1763
16,more_trees_2k_255L,2000,255,0.05,gbdt,rmse,0.5737859920201537,24.12236875587647,0.7543957442575889,570.5740482807159,1017
16,leaves_511,2000,511,0.05,gbdt,rmse,0.5734719814610262,24.13125312349804,0.7538122373584294,510.31471157073975,618
16,low_lr_0.02,3000,127,0.02,gbdt,rmse,0.5758162733628542,24.064846411131803,0.755369200443184,920.110799074173,2999
16,low_lr_0.01,3000,127,0.01,gbdt,rmse,0.5794336562736612,23.9620157910887,0.7581995490987753,184.07352757453918,3000
16,dart_2k,2000,127,0.05,dart,rmse,0.5792253746499743,23.96794854089775,0.7572525532435971,1116.5746347904205,0
16,dart_3k,3000,127,0.03,dart,rmse,0.5811251480051344,23.91378037211997,0.7590837047363295,1662.9111459255219,0
16,huber_2k,2000,127,0.05,gbdt,huber,0.5476461495165874,24.851078334198682,0.7373939695130419,349.8399398326874,2000
16,huber_3k,3000,127,0.05,gbdt,huber,0.5556911030128999,24.62910314265703,0.7461311279255675,326.83238887786865,3000
32,baseline_1k,1000,127,0.05,gbdt,rmse,0.6299914441082591,44.952299450236914,0.787186088917882,128.7763967514038,0
32,baseline_255L,1000,255,0.05,gbdt,rmse,0.6298726115031111,44.95951735093065,0.787311689852698,149.97409057617188,0
32,more_trees_2k,2000,127,0.05,gbdt,rmse,0.6276557006849044,45.09396084438099,0.78620839249846,212.06294751167297,2000
32,more_trees_3k,3000,127,0.05,gbdt,rmse,0.6255427858779807,45.22172553788586,0.7854515564316176,280.5271496772766,2934
32,more_trees_2k_255L,2000,255,0.05,gbdt,rmse,0.6217325581889761,45.451216337854525,0.7828131559538032,254.9087324142456,1989
32,leaves_511,2000,511,0.05,gbdt,rmse,0.6195333000252548,45.5831522082126,0.7807445250135612,245.48633313179016,1367
32,low_lr_0.02,3000,127,0.02,gbdt,rmse,0.632534953942205,44.79752764141267,0.7887388487816832,344.65940713882446,3000
32,low_lr_0.01,3000,127,0.01,gbdt,rmse,0.6318683807438776,44.83814007809086,0.7884781651041772,433.28524017333984,3000
32,dart_2k,2000,127,0.05,dart,rmse,0.6350136884577438,44.646181179470965,0.7904198498274334,1392.549818277359,0
32,dart_3k,3000,127,0.03,dart,rmse,0.6354073998058333,44.62209472683228,0.7904152917300017,1956.559386730194,0
32,huber_2k,2000,127,0.05,gbdt,huber,0.5381084135421241,50.224550038234035,0.7498090093235987,650.1158015727997,2000
32,huber_3k,3000,127,0.05,gbdt,huber,0.5828802326309035,47.72834932767399,0.7563390454603063,974.7505240440369,3000
48,baseline_1k,1000,127,0.05,gbdt,rmse,0.6851077313716267,62.204259949645454,0.821845909534365,182.49381947517395,0
48,baseline_255L,1000,255,0.05,gbdt,rmse,0.6829858050717664,62.41349220664196,0.8199098825397251,211.5378816127777,0
48,more_trees_2k,2000,127,0.05,gbdt,rmse,0.6828466534918745,62.42718872771947,0.8199115673074319,280.1099491119385,2000
48,more_trees_3k,3000,127,0.05,gbdt,rmse,0.6819379465532183,62.516557867359694,0.8195218696944354,393.63514256477356,3000
48,more_trees_2k_255L,2000,255,0.05,gbdt,rmse,0.6799584053999874,62.71080006117026,0.818267781623083,347.62114548683167,2000
48,leaves_511,2000,511,0.05,gbdt,rmse,0.6734993082068861,63.34045541644614,0.8142396799170295,426.31872844696045,1998
48,low_lr_0.02,3000,127,0.02,gbdt,rmse,0.6872557227023878,61.99173829963111,0.8229964725149538,486.02234959602356,3000
48,low_lr_0.01,3000,127,0.01,gbdt,rmse,0.6834329336679048,62.36946152164476,0.8209804158524293,638.5769259929657,3000
48,dart_2k,2000,127,0.05,dart,rmse,0.6858548113365213,62.130426519790646,0.8230662664170403,1612.4303600788116,0
48,dart_3k,3000,127,0.03,dart,rmse,0.6848862764677139,62.22612936128818,0.8224034312948342,2523.7599787712097,0
48,huber_2k,2000,127,0.05,gbdt,huber,0.4777791505713709,80.1062187309754,0.7724552191894716,911.2049331665039,2000
48,huber_3k,3000,127,0.05,gbdt,huber,0.569904360056225,72.69786367098952,0.7777247745706602,1384.5986025333405,3000
64,baseline_1k,1000,127,0.05,gbdt,rmse,0.6726141008112536,84.56847411567126,0.8131972239732995,237.9113917350769,0
64,baseline_255L,1000,255,0.05,gbdt,rmse,0.670542205483272,84.83565220864723,0.8118776010293156,295.98251843452454,0
64,more_trees_2k,2000,127,0.05,gbdt,rmse,0.6708835246653522,84.79169583635071,0.8120594082239199,377.05259132385254,2000
64,more_trees_3k,3000,127,0.05,gbdt,rmse,0.6672190326000389,85.2624385535272,0.810322788487876,519.993635892868,2999
64,more_trees_2k_255L,2000,255,0.05,gbdt,rmse,0.6681576513197718,85.14211101157144,0.8111357599604788,461.7627520561218,2000
64,leaves_511,2000,511,0.05,gbdt,rmse,0.6650453174555295,85.54045112608767,0.8090314954349821,602.7328407764435,2000
64,low_lr_0.02,3000,127,0.02,gbdt,rmse,0.673967319872667,84.39351518660436,0.8136992526899405,658.9540359973907,3000
64,low_lr_0.01,3000,127,0.01,gbdt,rmse,0.6728363682464684,84.53976180806185,0.8131008988718074,837.3585863113403,3000
64,dart_2k,2000,127,0.05,dart,rmse,0.6727902092261103,84.54572539107647,0.8131397836125994,1804.540897846222,0
64,dart_3k,3000,127,0.03,dart,rmse,0.6727126419188887,84.55574586698054,0.8135027979595487,2795.895912885666,0
64,huber_2k,2000,127,0.05,gbdt,huber,0.4012865867574218,114.36364890400023,0.7561140835096298,1149.2855520248413,2000
64,huber_3k,3000,127,0.05,gbdt,huber,0.5055497933662485,103.92972806885409,0.7629867058884301,1723.550637960434,3000
