n_permutations_length,width,layers,model,final_train_loss,r2_test,rmse_test,spearman_test,fit_time_sec,predict_time_sec,n_epochs,n_random_walks_to_generate,n_random_walk_length
8,4,[4],MLP_4_epochs10_rwlen28_n_rw10000,57.5469352833546,0.03951287269592285,7.916551113128662,0.1585675585453968,2.6345059871673584,0.05358123779296875,10,10000,28
8,8,[8],MLP_8_epochs10_rwlen28_n_rw10000,15.06375713418,0.6052687168121338,5.075058460235596,0.7991507995067123,1.5771658420562744,0.053612470626831055,10,10000,28
8,16,[16],MLP_16_epochs10_rwlen28_n_rw10000,9.348774908232864,0.7631614804267883,3.9311211109161377,0.8869806065861163,1.555598497390747,0.053365468978881836,10,10000,28
8,24,[24],MLP_24_epochs10_rwlen28_n_rw10000,1.3438055989516042,0.835523784160614,3.275984287261963,0.9365618436758317,1.5579345226287842,0.19987773895263672,10,10000,28
8,32,[32],MLP_32_epochs10_rwlen28_n_rw10000,2.487964487423862,0.8477206230163574,3.1521787643432617,0.9365328886478624,1.5583312511444092,0.052451372146606445,10,10000,28
8,48,[48],MLP_48_epochs10_rwlen28_n_rw10000,1.7873965066714879,0.8381129503250122,3.2500967979431152,0.9361932304219843,1.5642805099487305,0.05485963821411133,10,10000,28
8,64,[64],MLP_64_epochs10_rwlen28_n_rw10000,1.1215431694566769,0.838947057723999,3.241713523864746,0.9402282594342534,1.8127505779266357,0.052475929260253906,10,10000,28
8,128,[128],MLP_128_epochs10_rwlen28_n_rw10000,1.1513150138576536,0.8429358005523682,3.2013180255889893,0.941076402608082,1.5931010246276855,0.052367210388183594,10,10000,28
8,256,[256],MLP_256_epochs10_rwlen28_n_rw10000,1.5804143680708251,0.8471874594688416,3.157691717147827,0.9404371535363264,1.5966684818267822,0.052659034729003906,10,10000,28
8,512,[512],MLP_512_epochs10_rwlen28_n_rw10000,1.6659929382540013,0.8412853479385376,3.21809458732605,0.9378093475885391,1.5997238159179688,0.05243563652038574,10,10000,28
8,1024,[1024],MLP_1024_epochs10_rwlen28_n_rw10000,0.8276464090730152,0.8419644236564636,3.211202383041382,0.9432427124963231,1.600616216659546,0.052596330642700195,10,10000,28
12,4,[4],MLP_4_epochs10_rwlen66_n_rw10000,239.15647805383963,0.3203709125518799,15.70505428314209,0.5925275654758133,3.651763677597046,0.12303662300109863,10,10000,66
12,8,[8],MLP_8_epochs10_rwlen66_n_rw10000,349.9146271934805,0.040785789489746094,18.657835006713867,0.06356037265746978,3.6475656032562256,0.12297582626342773,10,10000,66
12,16,[16],MLP_16_epochs10_rwlen66_n_rw10000,101.31375229709832,0.6707198023796082,10.931663513183594,0.8287599314616216,3.637923002243042,0.12317967414855957,10,10000,66
12,24,[24],MLP_24_epochs10_rwlen66_n_rw10000,92.20960795084635,0.6942306756973267,10.534172058105469,0.8392960180403848,3.6610631942749023,0.27400732040405273,10,10000,66
12,32,[32],MLP_32_epochs10_rwlen66_n_rw10000,82.47083437424297,0.7198969721794128,10.08236312866211,0.8527574790043548,3.6501736640930176,0.12322688102722168,10,10000,66
12,48,[48],MLP_48_epochs10_rwlen66_n_rw10000,78.13836393134538,0.7177181839942932,10.121500015258789,0.8524677424305734,3.660611867904663,0.12361407279968262,10,10000,66
12,64,[64],MLP_64_epochs10_rwlen66_n_rw10000,77.24843368530273,0.7215864658355713,10.051910400390625,0.8539294200827481,3.645237445831299,0.12333273887634277,10,10000,66
12,128,[128],MLP_128_epochs10_rwlen66_n_rw10000,78.79409400880799,0.7351534366607666,9.803940773010254,0.8552918501768677,3.6554462909698486,0.24833011627197266,10,10000,66
12,256,[256],MLP_256_epochs10_rwlen66_n_rw10000,77.99898977353591,0.7390876412391663,9.730850219726562,0.8576031802457871,3.661652088165283,0.12446284294128418,10,10000,66
12,512,[512],MLP_512_epochs10_rwlen66_n_rw10000,79.11461608650148,0.7370743751525879,9.76832103729248,0.8583590994694548,3.697718858718872,0.25887417793273926,10,10000,66
12,1024,[1024],MLP_1024_epochs10_rwlen66_n_rw10000,75.47833235393199,0.7341187000274658,9.823073387145996,0.8583495679025417,3.6816468238830566,0.126708984375,10,10000,66
16,4,[4],MLP_4_epochs10_rwlen120_n_rw10000,1174.994995013032,0.020566940307617188,34.28174591064453,0.015187199047295966,6.603097438812256,0.35216236114501953,10,10000,120
16,8,[8],MLP_8_epochs10_rwlen120_n_rw10000,997.5661894502086,0.17382240295410156,31.485620498657227,0.40820104559589154,6.620986700057983,0.22475957870483398,10,10000,120
16,16,[16],MLP_16_epochs10_rwlen120_n_rw10000,326.7143780705058,0.7289376258850098,18.03474998474121,0.8536205074163706,6.607272148132324,0.22473812103271484,10,10000,120
16,24,[24],MLP_24_epochs10_rwlen120_n_rw10000,276.264931584381,0.7633737921714783,16.85027313232422,0.8687529094606862,6.640463352203369,0.35248398780822754,10,10000,120
16,32,[32],MLP_32_epochs10_rwlen120_n_rw10000,292.8128967936128,0.7637401819229126,16.83722496032715,0.8688389078049547,6.594725131988525,0.2259047031402588,10,10000,120
16,48,[48],MLP_48_epochs10_rwlen120_n_rw10000,270.24838377916774,0.771101176738739,16.57285499572754,0.8729766595021479,6.680595636367798,0.38344621658325195,10,10000,120
16,64,[64],MLP_64_epochs10_rwlen120_n_rw10000,263.43411468401706,0.7820983529090881,16.169843673706055,0.8769251675601837,6.639972925186157,0.22641992568969727,10,10000,120
16,128,[128],MLP_128_epochs10_rwlen120_n_rw10000,249.69171732358964,0.779861330986023,16.25263214111328,0.8747276953548894,6.7276084423065186,0.3589904308319092,10,10000,120
16,256,[256],MLP_256_epochs10_rwlen120_n_rw10000,251.39809609110443,0.7807869911193848,16.21842384338379,0.8748474112685299,6.729700088500977,0.35175442695617676,10,10000,120
16,512,[512],MLP_512_epochs10_rwlen120_n_rw10000,252.37396018903817,0.7784755229949951,16.303709030151367,0.8736304764157777,6.7390382289886475,0.22513461112976074,10,10000,120
16,1024,[1024],MLP_1024_epochs10_rwlen120_n_rw10000,252.78381127627637,0.7789920568466187,16.28468894958496,0.8737716538566778,6.706121206283569,0.22616958618164062,10,10000,120
20,4,[4],MLP_4_epochs10_rwlen190_n_rw10000,2234.5290334635765,0.23105579614639282,48.095489501953125,0.4648344031906798,10.466514587402344,0.5018649101257324,10,10000,190
20,8,[8],MLP_8_epochs10_rwlen190_n_rw10000,1273.4146819936818,0.5673369765281677,36.07712173461914,0.7532218081283183,10.467912912368774,0.4965822696685791,10,10000,190
20,16,[16],MLP_16_epochs10_rwlen190_n_rw10000,723.8621967578756,0.7258092164993286,28.719932556152344,0.8515431816221724,10.49393105506897,0.492664098739624,10,10000,190
20,24,[24],MLP_24_epochs10_rwlen190_n_rw10000,672.9460523868429,0.7376197576522827,28.094575881958008,0.8563979571915615,10.505364894866943,0.4882509708404541,10,10000,190
20,32,[32],MLP_32_epochs10_rwlen190_n_rw10000,674.9917711718329,0.7486377358436584,27.49837303161621,0.8615922241490015,10.52097201347351,0.3582155704498291,10,10000,190
20,48,[48],MLP_48_epochs10_rwlen190_n_rw10000,629.087815383385,0.7709873914718628,26.247421264648438,0.8727480317209294,10.496097803115845,0.5185599327087402,10,10000,190
20,64,[64],MLP_64_epochs10_rwlen190_n_rw10000,630.3518725263662,0.7672570943832397,26.4603271484375,0.8713052299332441,10.489570617675781,0.5003423690795898,10,10000,190
20,128,[128],MLP_128_epochs10_rwlen190_n_rw10000,562.1224582606349,0.7691760063171387,26.35102081298828,0.8722466429920548,10.708258867263794,0.4961097240447998,10,10000,190
20,256,[256],MLP_256_epochs10_rwlen190_n_rw10000,654.0379323137217,0.7654377222061157,26.56354522705078,0.8686447840552256,10.703781127929688,0.49062252044677734,10,10000,190
20,512,[512],MLP_512_epochs10_rwlen190_n_rw10000,568.5602676950652,0.7730361223220825,26.129756927490234,0.8730887569680779,10.613739967346191,0.35758090019226074,10,10000,190
